gre_score,toefl_score,univ_ranking,motiv_letter_strength,recommendation_strength,gpa,research_exp,admit_status
337.0,118.0,4.0,4.5,4.5,9.65,yes,1
324.0,107.0,4.0,4.0,4.5,8.87,yes,1
316.0,104.0,3.0,3.0,3.5,8.0,yes,1
322.0,110.0,3.0,3.5,2.5,8.67,yes,1
314.0,103.0,2.0,2.0,3.0,8.21,no,0
330.0,115.0,5.0,4.5,3.0,9.34,yes,1
321.0,109.0,3.0,3.0,4.0,8.2,yes,1
308.0,101.0,2.0,3.0,4.0,7.9,no,0
302.0,102.0,1.0,2.0,1.5,8.0,no,0
323.0,108.0,3.0,3.5,3.0,8.6,no,0
325.0,106.0,3.0,3.5,4.0,8.4,yes,0
327.0,111.0,4.0,4.0,4.5,9.0,yes,1
328.0,112.0,4.0,4.0,4.5,9.1,yes,1
307.0,109.0,3.0,4.0,3.0,8.0,yes,0
311.0,104.0,3.0,3.5,2.0,8.2,yes,0
314.0,105.0,3.0,3.5,2.5,8.3,no,0
317.0,107.0,3.0,4.0,3.0,8.7,no,0
319.0,106.0,3.0,4.0,3.0,8.0,yes,0
318.0,110.0,3.0,4.0,3.0,8.8,no,0
303.0,102.0,3.0,3.5,3.0,8.5,no,0
312.0,107.0,3.0,3.0,2.0,7.9,yes,0
325.0,114.0,4.0,3.0,2.0,8.4,no,0
328.0,116.0,5.0,5.0,5.0,9.5,yes,1
334.0,119.0,5.0,5.0,4.5,9.7,yes,1
336.0,119.0,5.0,4.0,3.5,9.8,yes,1
340.0,120.0,5.0,4.5,4.5,9.6,yes,1
322.0,109.0,5.0,4.5,3.5,8.8,no,1
298.0,98.0,2.0,1.5,2.5,7.5,yes,0
295.0,93.0,1.0,2.0,2.0,7.2,no,0
310.0,99.0,2.0,1.5,2.0,7.3,no,0
300.0,97.0,2.0,3.0,3.0,8.1,yes,0
327.0,103.0,3.0,4.0,4.0,8.3,yes,1
338.0,118.0,4.0,3.0,4.5,9.4,yes,1
340.0,114.0,5.0,4.0,4.0,9.6,yes,1
331.0,112.0,5.0,4.0,5.0,9.8,no,1
320.0,110.0,5.0,5.0,5.0,9.2,yes,1
299.0,106.0,2.0,4.0,4.0,8.4,no,0
300.0,105.0,,1.0,2.0,7.8,no,0
304.0,105.0,1.0,3.0,1.5,7.5,no,0
307.0,108.0,2.0,4.0,3.5,7.7,no,0
308.0,110.0,3.0,3.5,3.0,8.0,yes,0
316.0,105.0,2.0,2.5,2.5,8.2,yes,0
313.0,107.0,2.0,,2.0,8.5,yes,0
332.0,117.0,4.0,4.5,4.0,9.1,no,1
326.0,113.0,5.0,4.5,4.0,9.4,yes,1
322.0,110.0,5.0,5.0,4.0,9.1,yes,1
329.0,114.0,5.0,4.0,5.0,9.3,yes,1
339.0,119.0,5.0,4.5,4.0,9.7,no,1
321.0,110.0,3.0,3.5,5.0,8.85,yes,1
327.0,111.0,4.0,3.0,4.0,8.4,yes,1
313.0,98.0,3.0,2.5,4.5,8.3,yes,1
312.0,100.0,2.0,1.5,3.5,7.9,yes,0
334.0,116.0,4.0,4.0,3.0,8.0,no,1
324.0,112.0,4.0,4.0,2.5,8.1,yes,1
322.0,110.0,3.0,3.0,3.5,8.0,no,0
320.0,103.0,3.0,3.0,3.0,7.7,no,0
316.0,102.0,3.0,2.0,3.0,7.4,no,0
298.0,99.0,2.0,4.0,2.0,7.6,no,0
300.0,99.0,1.0,3.0,2.0,6.8,yes,0
311.0,104.0,2.0,2.0,2.0,8.3,no,0
309.0,100.0,2.0,3.0,3.0,8.1,no,0
307.0,101.0,3.0,4.0,3.0,8.2,no,0
304.0,105.0,2.0,3.0,3.0,8.2,yes,0
315.0,107.0,2.0,4.0,3.0,8.5,yes,0
325.0,111.0,3.0,3.0,3.5,8.7,no,0
325.0,112.0,4.0,3.5,3.5,8.92,no,0
327.0,114.0,3.0,3.0,3.0,9.02,no,0
316.0,107.0,2.0,3.5,3.5,8.64,yes,0
318.0,109.0,3.0,3.5,4.0,9.22,yes,0
328.0,115.0,4.0,4.5,4.0,9.16,yes,1
332.0,118.0,5.0,5.0,5.0,9.64,yes,1
336.0,112.0,5.0,5.0,5.0,9.76,yes,1
321.0,111.0,5.0,5.0,,9.45,yes,1
314.0,108.0,4.0,4.5,4.0,9.04,yes,1
314.0,106.0,3.0,3.0,5.0,8.9,no,1
329.0,114.0,2.0,2.0,4.0,8.56,yes,1
327.0,112.0,3.0,3.0,3.0,8.72,yes,1
301.0,99.0,,3.0,2.0,8.22,no,0
296.0,95.0,2.0,3.0,2.0,7.54,yes,0
,93.0,1.0,1.5,2.0,7.36,no,0
312.0,105.0,3.0,2.0,3.0,8.02,yes,0
340.0,120.0,4.0,5.0,5.0,9.5,yes,1
320.0,110.0,5.0,5.0,4.5,9.22,yes,1
322.0,115.0,5.0,4.0,4.5,9.36,yes,1
340.0,115.0,5.0,4.5,4.5,9.45,yes,1
319.0,103.0,4.0,4.5,3.5,8.66,no,1
315.0,106.0,3.0,4.5,3.5,8.42,no,1
317.0,107.0,2.0,3.5,3.0,8.28,no,0
,108.0,3.0,4.5,3.5,8.14,no,0
316.0,109.0,4.0,4.5,3.5,8.76,yes,1
318.0,106.0,2.0,4.0,4.0,7.92,yes,0
299.0,97.0,3.0,5.0,3.5,7.66,no,0
298.0,98.0,2.0,4.0,3.0,8.03,no,0
301.0,97.0,2.0,3.0,3.0,7.88,yes,0
303.0,99.0,3.0,2.0,2.5,7.66,no,0
304.0,100.0,4.0,1.5,2.5,7.84,no,0
306.0,100.0,2.0,3.0,3.0,8.0,no,0
331.0,120.0,3.0,4.0,4.0,8.96,yes,1
332.0,119.0,4.0,5.0,4.5,9.24,yes,1
323.0,113.0,3.0,4.0,4.0,8.88,yes,1
322.0,107.0,3.0,3.5,3.5,8.46,yes,1
312.0,105.0,2.0,2.5,3.0,8.12,no,0
314.0,106.0,2.0,4.0,3.5,8.25,no,0
317.0,104.0,2.0,4.5,4.0,8.47,no,0
326.0,112.0,3.0,3.5,3.0,9.05,yes,1
316.0,110.0,3.0,4.0,,8.78,yes,0
329.0,111.0,4.0,4.5,4.5,9.18,yes,1
338.0,117.0,4.0,3.5,4.5,9.46,yes,1
331.0,116.0,5.0,5.0,5.0,9.38,yes,1
304.0,103.0,5.0,5.0,4.0,8.64,no,0
305.0,108.0,5.0,3.0,3.0,8.48,no,0
321.0,109.0,4.0,4.0,4.0,8.68,yes,0
301.0,107.0,3.0,3.5,3.5,8.34,yes,0
320.0,110.0,2.0,4.0,3.5,8.56,no,1
311.0,105.0,3.0,3.5,3.0,8.45,yes,0
310.0,106.0,4.0,4.5,4.5,9.04,yes,0
299.0,102.0,3.0,4.0,3.5,8.62,no,0
290.0,104.0,4.0,2.0,2.5,7.46,no,0
296.0,99.0,2.0,3.0,3.5,7.28,no,0
